Url,Size,YardSize,Floor,TotalFloors,District,Year,Type,BuildingType,Price
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159835900810047&slink=60chmx&f1=1,85,605,0,0,"град София, гр. Нови Искър",1981,КЪЩА,Тухла,84000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160160557554406&slink=60chmx&f1=1,85,436,0,0,"град София, Драгалевци",0,КЪЩА,Тухла,99800
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j156985086873523&slink=60chmx&f1=1,85,360,0,0,"град София, Левски",1983,КЪЩА,Тухла,90000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160011582232535&slink=60chmx&f1=1,85,435,0,0,"град София, Орландовци",1950,КЪЩА,Тухла,62000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j152751381433815&slink=60chmx&f1=1,85,748,0,0,"град София, с. Кътина",0,КЪЩА,Тухла,46000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159428041525186&slink=60chmx&f1=1,85,100,0,0,"град София, Филиповци",1980,КЪЩА,Тухла,75000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j153510795864992&slink=60chn1&f1=1,86,660,0,0,"град София, гр. Банкя",1970,КЪЩА,Тухла,54990
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158960995688803&slink=60chn1&f1=1,86,850,1,1,"град София, с. Волуяк",1961,КЪЩА,Тухла,85000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160000860723680&slink=60chn4&f1=1,89,790,0,0,"град София, с. Клисура",2012,КЪЩА,Панел,19800
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158212650104018&slink=60chn4&f1=1,89,872,0,0,"град София, с. Кокаляне",0,КЪЩА,Тухла,110000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159179012447545&slink=60chn5&f1=1,90,794,0,0,"град София, Драгалевци",1970,КЪЩА,Тухла,180000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157252236684667&slink=60chn5&f1=1,90,1339,0,0,"град София, Драгалевци",0,КЪЩА,Тухла,247000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158883620714175&slink=60chn5&f1=1,90,958,0,0,"град София, гр. Банкя",1980,КЪЩА,Тухла,79900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159125622893560&slink=60chn5&f1=1,90,513,0,0,"град София, гр. Банкя",0,КЪЩА,Тухла,99999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157830078753790&slink=60chn5&f1=1,90,760,0,0,"град София, гр. Банкя",1991,КЪЩА,Тухла,139998
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160043371824669&slink=60chn5&f1=1,90,560,0,0,"град София, гр. Банкя",1960,КЪЩА,Тухла,140000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158222862970060&slink=60chn5&f1=1,90,500,0,0,"град София, Димитър Миленков",0,КЪЩА,Тухла,69900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159413186220620&slink=60chn5&f1=1,90,305,0,0,"град София, Изток",0,КЪЩА,Тухла,330000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160157984039274&slink=60chn5&f1=1,90,350,0,0,"град София, с. Балша",0,КЪЩА,Тухла,76000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159913510875365&slink=60chn5&f1=1,90,350,0,0,"град София, с. Герман",2005,КЪЩА,Тухла,139900
